#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-10-17T12:50:19 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ562243f7597f 
#INFO -out.max=unlimited 
#INFO queryParameters=19 
#-oc.form=sexa
#-out.max=unlimited
#-nav=cat:J/AJ/124/404&tab:{J/AJ/124/404/table1}&key:source=J/AJ/124/404&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/124/404/table1
#-order=I
#-out=[PBB2002]
#-out=Rmag
#-out=EWLi
#-out=EWHa
#-out=SpType
#-out=AV
#-out=log(T)
#-out=log(Lbol)
#-out=_RA
#-out=_DE
#
#RESOURCE=yCat_51240404
#Name: J/AJ/124/404
#Title: Upper Scorpius OB association Lithium survey. II. (Preibisch, 2002)
#Table J_AJ_124_404_table1:
#Name: J/AJ/124/404/table1
#Title: PMS stars in Upper Scorpius detected in our 2dF survey
#---Details of Columns:
#    [PBB2002]            (a15)   Source name, USco-HHMMSS.s+DDMMSS (1) [ucd=meta.id;meta.main]
#    Rmag (mag)           (F4.1)  The R-band magnitude [ucd=phot.mag;em.opt.R]
#    EWLi (0.1nm)         (F5.2)  Li (6708 {AA}) Equivalent Width [ucd=spect.line.eqWidth]
#    EWHa (0.1nm)         (F6.1)  H{alpha} Equivalent Width [ucd=spect.line.eqWidth]
#    SpType               (A2)    Spectral type [ucd=src.spType]
#    AV (mag)             (F4.1)  The V-band extinction [ucd=phys.absorption]
#    log(T) ([K])         (F6.3)  Log of the adopted effective temperature [ucd=phys.temperature.effective]
#    log(Lbol) ([solLum]) (F5.2)  Log of the bolometric luminosity [ucd=phys.luminosity]
#    _RA (deg)            (F8.4)  Position derived from Name (right ascension part) [ucd=pos.eq.ra;meta.main]
#    _DE (deg)            (F8.4)  Position derived from Name (declination part) [ucd=pos.eq.dec;meta.main]
#--------------- ---- ----- ------ -- ---- ------ ----- -------- --------
#                                                 log(L                  
#                Rm   EW           Sp             bol)                   
#                ag ( Li (0 EWHa ( Ty AV ( log(T) ([sol _        _       
#[PBB2002]       mag) .1nm) 0.1nm) pe mag) ([K])  Lum]) RA (deg) DE (deg)
#--------------- ---- ----- ------ -- ---- ------ ----- -------- --------
155532.4-230817 16.8  0.15    0.5 M1  5.7  3.569 -0.75 238.8850 -23.1381
155624.8-222555 15.5  0.78   -5.4 M4  1.7  3.516 -1.12 239.1033 -22.4319
155625.7-224027 14.6  0.53   -4.2 M3  1.8  3.532 -0.85 239.1071 -22.6742
155629.5-225657 14.3  0.54   -3.1 M3  0.9  3.533 -0.98 239.1229 -22.9492
155655.5-225839 13.1  0.54   -1.9 M0  0.7  3.578 -0.69 239.2312 -22.9775
155706.4-220606 16.2  0.52   -3.6 M4  2.0  3.513 -1.31 239.2767 -22.1017
155728.5-221904 16.7  0.40   -6.2 M5  2.3  3.505 -1.37 239.3687 -22.3178
155729.2-221523 17.1  0.29   -4.0 M5  2.1  3.503 -1.58 239.3717 -22.2564
155729.9-225843 15.8  0.55   -7.0 M4  1.4  3.511 -1.30 239.3746 -22.9786
155737.2-224524 16.7  0.15    0.0 M2  1.6  3.544 -1.76 239.4050 -22.7567
155742.5-222605 15.7  0.15   -2.9 M3  1.8  3.526 -1.22 239.4271 -22.4347
155744.9-222351 14.3  0.13    0.9 M2  0.7  3.558 -1.11 239.4371 -22.3975
155746.6-222919 14.7  0.69   -2.1 M3  1.3  3.533 -1.01 239.4442 -22.4886
155829.8-231007 15.4  0.41 -250.0 M3  0.0  3.532 -1.63 239.6242 -23.1686
155848.6-224657 14.5  0.19   -0.5 M0  0.7  3.579 -1.24 239.7025 -22.7825
155912.5-223650 16.4  0.89  -10.5 M5  0.3  3.493 -1.70 239.8021 -22.6139
155918.4-221042 14.7  0.98   -1.0 M4  1.3  3.515 -0.90 239.8267 -22.1783
155925.9-230508 17.0  0.65  -19.5 M6  1.5  3.485 -1.57 239.8579 -23.0856
155930.1-225125 17.6  0.70   -5.0 M4  2.5  3.511 -1.71 239.8754 -22.8569
160004.3-223014 14.9  0.20   -0.4 M3  0.2  3.528 -1.40 240.0179 -22.5039
160007.2-222406 16.8  0.27   -4.4 M4  0.6  3.509 -1.91 240.0300 -22.4017
160017.4-221810 16.5  0.50   -3.9 M6  0.0  3.481 -1.79 240.0725 -22.3028
160018.4-223011 14.7  0.30 -150.0 M3  1.5  3.539 -0.97 240.0767 -22.5031
160026.3-225941 16.8  1.00  -10.0 M5  2.5  3.495 -1.25 240.1096 -22.9947
160028.5-220922 16.8  0.65    0.0 M6  0.0  3.476 -1.93 240.1187 -22.1561
160030.2-233445 17.2  0.50  -15.8 M6  1.0  3.476 -1.71 240.1258 -23.5792
160054.5-224908 14.7  0.10    0.0 M3  1.0  3.530 -1.09 240.2271 -22.8189
160106.0-221524 15.9  0.80   -8.0 M5  1.0  3.501 -1.38 240.2750 -22.2567
160110.4-222227 14.2  0.80   -9.4 M4  1.0  3.513 -0.78 240.2933 -22.3742
160121.5-223726 14.2  0.80   -8.4 M4  0.4  3.507 -0.92 240.3396 -22.6239
160129.8-224838 14.9  0.80   -4.4 M4  1.6  3.515 -0.90 240.3742 -22.8106
160132.9-224231 14.6  0.20   -1.4 M0  0.9  3.580 -1.22 240.3871 -22.7086
160140.8-225810 14.0  0.45 -120.0 M3  0.0  3.528 -1.16 240.4200 -22.9694
160142.6-222923 13.5  0.33   -0.6 M0  0.7  3.580 -0.87 240.4275 -22.4897
160158.9-224036 14.4  0.80   -7.6 M4  0.7  3.515 -0.97 240.4954 -22.6767
160159.7-195219 16.3  0.47   -2.7 M5  2.0  3.497 -1.22 240.4987 -19.8719
160202.9-223613 14.7  0.18   -1.5 M0  1.6  3.575 -1.08 240.5121 -22.6036
160207.5-225746 13.7  0.30   -3.2 M1  0.9  3.565 -0.81 240.5312 -22.9628
160210.9-200749 16.4  0.65   -3.5 M5  1.6  3.501 -1.40 240.5454 -20.1303
160222.4-195653 14.7  0.40   -6.6 M3  1.6  3.533 -0.95 240.5933 -19.9481
160226.2-200241 15.2  0.47   -4.9 M5  0.0  3.495 -1.39 240.6092 -20.0447
160236.2-191732 17.3  0.40    0.7 M3  2.5  3.539 -1.74 240.6508 -19.2922
160245.4-194604 15.9  0.30    0.7 M2  1.4  3.550 -1.54 240.6892 -19.7678
160245.4-193037 16.4  0.51   -1.1 M5  1.8  3.495 -1.31 240.6892 -19.5103
160245.7-230450 16.7  1.00 -100.0 M6  1.5  3.485 -1.46 240.6904 -23.0806
160258.5-225649 13.9  1.00   -9.4 M2  0.8  3.546 -0.88 240.7437 -22.9469
160325.6-194438 15.4  0.20   -1.4 M2  1.6  3.544 -1.22 240.8567 -19.7439
160329.4-195503 15.7  0.40   -4.9 M5  1.0  3.503 -1.30 240.8725 -19.9175
160341.8-200557 13.5  0.30   -2.2 M2  0.9  3.555 -0.70 240.9242 -20.0992
160343.3-201531 13.6  0.49   -3.5 M2  0.9  3.558 -0.76 240.9304 -20.2586
160350.4-194121 15.0  0.59   -4.9 M5  0.6  3.505 -1.17 240.9600 -19.6892
160357.9-194210 14.5  0.35   -3.0 M2  1.7  3.546 -0.87 240.9912 -19.7028
160407.7-194857 16.8  0.22   -4.0 M5  0.7  3.499 -1.80 241.0321 -19.8158
160418.2-191055 15.4  0.76   -0.5 M4  2.3  3.524 -0.99 241.0758 -19.1819
160428.0-190434 15.8  0.55   -3.4 M4  2.4  3.516 -1.05 241.1167 -19.0761
160428.4-190441 13.5  0.68   -5.0 M3  1.0  3.532 -0.63 241.1183 -19.0781
160435.6-194830 16.1  0.63   -7.2 M5  1.6  3.499 -1.29 241.1483 -19.8083
160439.1-194245 15.1  0.61   -3.8 M4  0.9  3.518 -1.18 241.1629 -19.7125
160449.9-203835 16.0  0.65   -7.8 M5  1.0  3.497 -1.37 241.2079 -20.6431
160456.4-194045 15.0  0.54   -5.2 M4  0.9  3.507 -1.10 241.2350 -19.6792
160502.1-203507 13.6  0.57   -5.9 M2  1.8  3.551 -0.53 241.2587 -20.5853
160508.3-201531 13.3  0.58   -4.3 M4  0.0  3.524 -0.80 241.2846 -20.2586
160508.5-201532 14.0  0.46   -5.5 M4  0.4  3.518 -0.90 241.2854 -20.2589
160516.1-193830 15.6  0.50   -2.4 M4  1.1  3.520 -1.35 241.3171 -19.6417
160517.9-202420 12.9  0.41   -5.2 M3  0.6  3.542 -0.56 241.3246 -20.4056
160521.9-193602 13.9  0.50   -1.9 M1  1.2  3.563 -0.83 241.3412 -19.6006
160522.7-205111 14.8  0.10   -4.5 M4  1.1  3.518 -1.03 241.3446 -20.8531
160525.5-203539 16.1  0.48   -6.1 M5  1.5  3.499 -1.30 241.3562 -20.5942
160528.5-201037 14.1  0.55   -1.9 M1  1.4  3.569 -0.85 241.3687 -20.1769
160531.3-192623 16.7  0.58   -8.8 M5  1.8  3.497 -1.48 241.3804 -19.4397
160532.1-193315 16.5  0.61  -26.0 M5  0.0  3.499 -1.88 241.3837 -19.5542
160545.4-202308 14.4  0.31  -35.0 M2  1.4  3.560 -0.98 241.4392 -20.3856
160600.6-195711 14.9  0.80   -7.5 M5  1.7  3.505 -0.82 241.5025 -19.9531
160611.9-193532 16.0  0.63   -8.2 M5  0.9  3.495 -1.39 241.5496 -19.5922
160619.3-192332 16.4  0.52   -5.5 M5  1.9  3.505 -1.37 241.5804 -19.3922
160622.8-201124 15.4  0.53   -6.0 M5  0.0  3.499 -1.47 241.5950 -20.1900
160628.7-200357 15.0  0.58  -30.0 M5  0.6  3.499 -1.12 241.6196 -20.0658
160629.0-205216 15.1  0.68   -6.2 M5  1.2  3.497 -0.99 241.6208 -20.8711
160632.1-202053 17.3  0.69   -5.1 M5  1.5  3.495 -1.78 241.6337 -20.3481
160643.8-190805 12.7  0.65   -3.8 K6  1.9  3.623 -0.31 241.6825 -19.1347
160647.5-202232 13.9  0.41   -3.2 M2  1.6  3.557 -0.70 241.6979 -20.3756
160700.1-203309 14.1  0.65   -0.6 M2  1.8  3.551 -0.69 241.7504 -20.5525
160702.1-201938 16.3  0.39  -30.0 M5  1.7  3.501 -1.37 241.7587 -20.3272
160704.7-201555 16.2  0.61   -4.2 M4  1.7  3.511 -1.39 241.7696 -20.2653
160707.7-192715 14.0  0.57   -5.0 M2  2.2  3.548 -0.52 241.7821 -19.4542
160708.7-192733 15.8  0.52   -4.0 M4  1.7  3.516 -1.26 241.7862 -19.4592
160710.0-191703 16.6  0.90   -9.0 M2  3.6  3.551 -1.23 241.7917 -19.2842
160716.0-204443 14.7  0.68   -3.6 M4  1.2  3.524 -0.97 241.8167 -20.7453
160719.7-202055 15.3  0.57   -2.3 M3  2.7  3.542 -0.89 241.8321 -20.3486
160722.4-201158 17.2  0.50  -14.0 M5  2.3  3.491 -1.47 241.8433 -20.1994
160726.8-185521 14.1  0.33   -1.9 M1  1.1  3.569 -0.97 241.8617 -18.9225
160727.5-201834 17.3  0.90  -13.0 M5  2.4  3.487 -1.45 241.8646 -20.3094
160735.5-202713 17.2  0.75   -4.9 M5  2.3  3.505 -1.57 241.8979 -20.4536
160739.4-191747 14.0  0.52   -2.3 M2  1.6  3.560 -0.72 241.9142 -19.2964
160744.5-203602 13.6  0.50   -4.8 M4  0.8  3.516 -0.61 241.9354 -20.6006
160745.8-203055 17.3  0.30   -2.0 M3  1.9  3.530 -1.87 241.9408 -20.5153
160800.5-204028 16.3  0.34   -5.2 M5  1.9  3.501 -1.31 242.0021 -20.6744
160801.4-202741 12.8  0.83   -2.3 K8  1.5  3.601 -0.45 242.0058 -20.4614
160801.5-192757 14.0  0.52   -3.6 M4  1.0  3.524 -0.76 242.0062 -19.4658
160802.4-202233 15.3  0.60   -6.1 M5  0.5  3.499 -1.27 242.0100 -20.3758
160803.6-181237 17.3  0.35   -7.7 M4  3.9  3.515 -1.23 242.0150 -18.2103
160804.3-194712 14.0  0.91   -5.2 M4  0.0  3.516 -1.17 242.0179 -19.7867
160815.3-203811 15.1  0.57   -1.9 M3  2.1  3.542 -0.98 242.0637 -20.6364
160818.4-190059 14.1  0.72   -3.7 M3  0.3  3.528 -1.03 242.0767 -19.0164
160822.4-193004 12.9  0.29   -3.0 M1  1.2  3.571 -0.43 242.0933 -19.5011
160823.2-193001 13.1  0.49   -6.0 K9  1.5  3.586 -0.49 242.0967 -19.5003
160823.5-191131 14.1  0.59   -4.1 M2  1.5  3.544 -0.79 242.0979 -19.1919
160823.8-193551 13.2  0.72   -2.1 M1  1.5  3.569 -0.47 242.0992 -19.5975
160825.1-201224 13.7  0.41   -2.0 M1  1.3  3.574 -0.77 242.1046 -20.2067
160827.5-194904 15.6  0.57  -12.3 M5  1.4  3.495 -1.11 242.1146 -19.8178
160841.7-185610 16.9  0.70  -11.0 M6  1.1  3.483 -1.61 242.1737 -18.9361
160843.1-190051 14.9  0.57   -5.8 M4  1.3  3.515 -1.00 242.1796 -19.0142
160845.6-182443 13.7  0.70    0.5 M3  0.2  3.533 -0.93 242.1900 -18.4119
160854.0-203417 14.8  0.57   -3.4 M4  1.5  3.518 -0.90 242.2250 -20.5714
160900.0-190836 15.9  0.62  -15.4 M5  0.7  3.503 -1.45 242.2500 -19.1433
160900.7-190852 12.8  0.53  -12.7 K9  0.8  3.592 -0.60 242.2529 -19.1478
160903.9-193944 14.6  0.68   -7.2 M4  0.6  3.520 -1.10 242.2662 -19.6622
160904.0-193359 15.5  0.80   -2.2 M4  2.5  3.524 -0.96 242.2667 -19.5664
160908.4-200928 13.4  0.66   -4.0 M4  0.7  3.518 -0.60 242.2850 -20.1578
160913.4-194328 14.9  0.54   -1.6 M3  1.8  3.537 -0.97 242.3058 -19.7244
160915.8-193706 16.1  0.78   -4.4 M5  0.7  3.499 -1.53 242.3158 -19.6183
160916.8-183522 13.8  0.55   -3.0 M2  1.0  3.546 -0.80 242.3200 -18.5894
160926.7-192502 14.9  0.40    0.0 M3  1.0  3.528 -1.16 242.3612 -19.4172
160933.8-190456 14.1  0.57   -3.5 M2  1.4  3.557 -0.83 242.3908 -19.0822
160935.6-182822 15.5  0.75   -4.2 M3  1.8  3.528 -1.17 242.3983 -18.4728
160936.5-184800 15.0  0.57  -18.0 M3  1.2  3.532 -1.14 242.4021 -18.8000
160943.8-182302 15.0  0.48   -5.8 M4  1.9  3.516 -0.86 242.4325 -18.3839
160946.4-193735 13.5  0.49   -1.6 M1  1.6  3.569 -0.57 242.4433 -19.6264
160953.6-175446 16.6  1.30  -22.0 M3  4.1  3.539 -1.03 242.4733 -17.9128
160954.4-190654 13.5  0.70   -3.1 M1  0.9  3.569 -0.78 242.4767 -19.1150
160959.4-180009 14.7  0.58   -4.0 M4  0.2  3.518 -1.26 242.4975 -18.0025
161007.5-181056 17.8  0.44  -13.3 M6  1.9  3.474 -1.70 242.5312 -18.1822
161010.4-194539 14.7  0.49   -5.6 M3  1.4  3.533 -1.01 242.5433 -19.7608
161011.0-194603 16.2  0.70   -4.4 M5  0.3  3.487 -1.58 242.5458 -19.7675
161014.7-191909 14.4  0.62   -2.3 M3  1.0  3.535 -0.97 242.5612 -19.3192
161021.5-194132 14.0  0.40   -4.3 M3  2.0  3.541 -0.59 242.5896 -19.6922
161024.7-191407 14.9  0.55   -3.7 M3  1.5  3.528 -0.99 242.6029 -19.2353
161026.4-193950 15.0  0.62   -4.4 M4  1.9  3.516 -0.87 242.6100 -19.6639
161028.1-191043 17.3  0.65  -11.4 M4  2.1  3.511 -1.72 242.6171 -19.1786
161030.0-183906 16.1  0.54   -6.5 M4  2.0  3.507 -1.23 242.6250 -18.6517
161030.9-182422 15.1  0.55   -3.4 M3  1.8  3.535 -1.04 242.6287 -18.4061
161031.9-191305 12.6  0.50   -2.3 K7  1.1  3.607 -0.48 242.6329 -19.2181
161039.5-191652 14.5  0.53   -4.3 M2  1.5  3.551 -0.96 242.6646 -19.2811
161043.9-192225 14.0  0.67   -2.3 M3  1.1  3.539 -0.83 242.6829 -19.3736
161046.3-184059 16.8  0.51   -7.2 M4  3.1  3.516 -1.28 242.6929 -18.6831
161052.4-193734 15.4  0.93   -3.9 M3  2.3  3.526 -1.00 242.7183 -19.6261
161110.9-193331 16.2  0.63   -6.3 M5  1.1  3.501 -1.46 242.7954 -19.5586
161112.3-192737 17.3  0.30  -50.0 M5  1.4  3.501 -1.83 242.8012 -19.4603
161115.3-175721 13.1  0.55   -2.4 M1  1.6  3.574 -0.42 242.8137 -17.9558
161116.6-193910 13.9  0.47   -3.4 M4  0.6  3.513 -0.77 242.8192 -19.6528
161118.1-175728 13.9  0.55   -4.8 M4  0.9  3.515 -0.69 242.8254 -17.9578
161118.2-180358 17.5  0.90  -20.0 M6  1.6  3.476 -1.65 242.8258 -18.0661
161120.4-191937 14.1  0.51   -5.5 M2  0.6  3.544 -1.00 242.8350 -19.3269
161123.0-190522 14.4  0.40   -6.9 M3  1.7  3.528 -0.74 242.8458 -19.0894
161129.4-194224 16.4  0.80  -13.0 M6  0.8  3.483 -1.49 242.8725 -19.7067
161133.6-191400 14.4  0.56   -3.7 M3  1.8  3.537 -0.79 242.8900 -19.2333
161146.1-190742 16.2  0.47   -6.3 M5  1.6  3.503 -1.37 242.9421 -19.1283
161156.2-194323 14.1  0.60   -6.3 M3  0.7  3.542 -0.97 242.9842 -19.7231
