# PMS Stars in Upper Scorpius
# 
# Table 1 from Preibisch & Zinnecker (1999, AJ, 117, 2381)
# "The History of Low-Mass Star Formation in the Upper Scorpius OB Association"
# 
# URL: http://iopscience.iop.org/article/10.1086/300842
#
# Upper Sco	Cat	SpT	RASS	B	I	R-I	Av	logTe	logL/Ls	  M	Age
#---------------------------------------------------------------------------------------------------
153557.8-232405	P98	K3:	RC	13.1	10.88	0.86	1.4	3.649	-0.118	0.90	3.0
154106.7-265626	P98	G7	RC	12.6	9.98	0.77	1.6	3.701	0.258	1.42	3.0
154413.4-252258	P98	M1	RC	14.4	11.33	1.13	0.6	3.564	-0.431	0.38	1.0
154920.9-260005	K98	K0	RC	11.7	9.71	0.64	0.7	3.676	0.208	1.10	1.8
155106.6-240218	K98	M2	RC	15.1	12.08	1.19	0.4	3.551	-0.759	0.35	2.5
155231.2-263351	K98	M0	RC	13.1	10.88	0.75	0.0	3.576	-0.372	0.43	1.0
155459.9-234718	W94	G2	RnC	9.3	8.14	0.41	0.2	3.738	0.722	1.82	2.8
155506.2-252109	K98	M1	RnC	13.5	10.57	0.86	0.0	3.564	-0.241	0.33	0.6
155517.1-232216	W94	M2.5	-	15.2	12.17	1.11	0.0	3.545	-0.863	0.30	2.9
155548.7-251223	K98	G3	RC	10.6	9.44	0.42	0.2	3.731	0.200	1.34	9.0
155702.3-195042	P98	K7:	RC	12.7	10.24	0.77	0.2	3.609	-0.080	0.50	0.8
155716.6-252918	K98	M0	-	13.7	10.94	0.85	0.0	3.576	-0.396	0.44	1.2
155720.0-233849	W94	M0	-	13.7	10.95	0.92	0.0	3.576	-0.397	0.44	1.2
155725.8-235422	W94	M0.5	-	14.6	10.94	1.16	0.9	3.570	-0.210	0.34	0.5
155734.4-232111	W94	M1	RC	14.3	11.37	1.18	0.8	3.564	-0.401	0.38	0.9
155750.0-230508	K98	M0	RC	14.4	11.46	0.95	0.1	3.576	-0.574	0.50	2.9
155812.7-232835	K98	G2	RnC	10.9	9.25	0.47	0.4	3.738	0.333	1.47	8.0
155847.8-175800	P98	K3	RC	12.9	10.46	0.94	1.8	3.649	0.123	0.78	1.0
155902.1-184414	P98	K6	RC	13.0	10.40	0.94	1.3	3.620	0.053	0.53	0.7
155950.0-255557	K98	M2	RC	14.3	11.89	1.31	1.0	3.551	-0.573	0.35	1.5
160000.0-222037	W94	M1	-	14.0	11.08	1.13	0.6	3.564	-0.331	0.36	0.8
160000.7-250941	K98	G0	RnC	10.9	9.69	0.36	0.0	3.750	0.080	1.10	18.0
160013.3-241810	K98	M0	-	14.6	11.68	1.04	0.6	3.576	-0.580	0.50	3.0
160031.3-202705	K98	M1	-	14.8	11.24	1.22	1.0	3.564	-0.313	0.35	0.7
160040.6-220032	K98	G9	RC	12.1	9.95	0.56	0.5	3.685	0.053	1.22	4.0
160042.8-212737	K98	K7	-	14.2	10.97	0.88	0.8	3.609	-0.272	0.60	1.8
160105.2-222731	W94	M3	-	14.3	11.27	1.33	0.5	3.538	-0.398	0.27	0.5
160108.0-211318	K98	M0	RC	13.9	10.86	0.86	0.0	3.576	-0.364	0.42	1.0
160125.7-224040	W94	K1	RC	12.0	10.16	0.63	0.6	3.667	0.002	1.05	3.0
160147.4-204945	K98	M0	RnC	14.3	10.92	1.08	0.8	3.576	-0.239	0.38	0.8
160151.4-244524	K98	K7	RC	13.4	10.54	0.84	0.6	3.609	-0.136	0.53	1.0
160158.2-200811	K98	G5	RC	11.2	9.29	0.58	0.8	3.717	0.383	1.60	3.3
160200.3-222123	K98	M1	RC	14.9	11.23	1.23	1.1	3.564	-0.300	0.35	0.8
160208.5-225457	W94	M1	-	15.7	11.91	1.13	0.6	3.564	-0.663	0.43	2.8
160210.4-224128	W94	K5	RC	11.9	9.89	0.71	0.4	3.630	0.083	0.60	0.7
160239.1-254208	P98	K7	RC	13.2	10.80	0.73	0.0	3.609	-0.341	0.65	2.7
160251.2-240156	K98	K4	RC	13.2	10.82	0.71	0.6	3.639	-0.257	0.90	4.0
160253.9-202248	K98	K7	RC	13.4	10.58	0.96	1.1	3.609	-0.043	0.50	0.8
160302.7-180605	P98	K4	RC	12.8	10.78	0.83	1.1	3.639	-0.132	0.80	2.2
160323.7-175142	P98	M2	RC	14.3	11.06	1.25	0.7	3.551	-0.296	0.30	0.4
160354.9-203137	K98	M0	RC	14.0	11.10	1.10	0.9	3.576	-0.293	0.40	0.9
160357.6-203105	K98	K5	RC	13.4	10.92	0.81	0.9	3.630	-0.237	0.78	2.9
160420.9-213042	K98	M2	RC	16.6	12.13	1.57	2.2	3.551	-0.431	0.33	0.9
160421.7-213028	K98	K2	RC	13.3	10.64	0.73	1.0	3.658	-0.118	1.00	3.7
160447.7-193023	W94	K2	RC	12.2	9.82	0.65	0.6	3.658	0.137	0.90	1.2
160527.3-193846	W94	M1	-	15.5	11.99	1.07	0.3	3.564	-0.750	0.44	3.5
160539.1-215230	K98	M1	-	15.8	11.93	1.18	0.8	3.564	-0.625	0.43	2.5
160542.7-200415	W94	M2	RC	15.0	11.76	1.34	1.1	3.551	-0.494	0.34	1.0
160550.5-253313	P98	G7	RC	11.7	9.99	0.47	0.2	3.701	-0.019	1.20	8.5
160612.5-203647	K98	K5	RC	14.0	11.27	1.00	1.8	3.630	-0.203	0.75	2.5
160621.9-192844	W94	M0.5	RC	14.1	11.33	1.09	0.6	3.570	-0.430	0.41	1.1
160637.4-210840	K98	M1	RC	15.1	11.67	1.33	1.5	3.564	-0.384	0.37	0.9
160639.9-200128	W94	M3	-	16.8	12.79	1.43	1.0	3.538	-0.915	0.27	2.8
160654.4-241610	P98	M3	RC	13.8	10.87	1.08	0.0	3.538	-0.335	1.05	3.0
160703.5-203626	K98	M0	RC	14.3	10.22	0.90	0.0	3.576	-0.108	0.33	0.5
160703.6-204308	K98	M1	-	16.0	12.15	1.22	1.0	3.564	-0.677	0.43	2.8
160703.9-191132	K98	M1	RC	15.0	11.81	1.23	1.1	3.564	-0.532	0.40	1.7
160814.7-190833	P98	K2	RC	12.2	10.28	0.87	1.6	3.658	0.154	0.87	1.2
160831.4-180241	P98	M0	RC	14.0	11.26	0.93	0.1	3.576	-0.512	0.47	2.0
160843.4-260216	P98	G7	RC	11.1	9.30	0.71	1.3	3.701	0.476	1.50	1.8
