#HIP SpT logT elogT logL elogL
76310 A0V 3.980 0.031 1.271 0.070
77545 A2/3V 3.937 0.014 1.053 0.081
77815 A5V 3.907 0.007 1.195 0.077
77960 A4IV/V 3.918 0.012 0.973 0.093
78099 A0V 3.980 0.031 1.367 0.073
78196 A0V 3.980 0.031 1.302 0.070
78494 A2mA7-F2 3.943 0.016 1.395 0.077
78809 A1Vnn 3.964 0.019 1.244 0.071
78847 A0V 3.980 0.031 1.445 0.078
78963 A9V 3.872 0.010 1.314 0.084
78996 A9V 3.872 0.010 1.019 0.069
79124 A0V 3.980 0.031 1.550 0.078
79156 A0V 3.980 0.031 1.366 0.081
79250 A3III/IV 3.932 0.012 0.963 0.072
79366 A3V 3.932 0.012 1.202 0.071
79392 A2IV 3.943 0.016 1.300 0.076
79476 A8IVe 3.875 0.010 1.006 0.175
79733 A1mA9-F2 3.964 0.019 1.480 0.092
79860 A0V 3.980 0.031 1.432 0.075
79878 A0V 3.980 0.031 1.407 0.070
79987 A7V 3.892 0.014 1.308 0.116
80019 A0V 3.980 0.031 1.374 0.084
80059 A7III/IV 3.892 0.014 0.907 0.075
80088 A9V 3.872 0.010 0.960 0.095
80130 A9V 3.872 0.010 1.089 0.077
80196 A1Vn 3.964 0.019 1.602 0.102
80238 A2.5V 3.937 0.014 1.389 0.081
80311 A1V 3.964 0.019 1.266 0.080
80425 A1V 3.964 0.019 1.392 0.096
80799 A3V 3.932 0.012 1.078 0.068
81624 A3 3.932 0.012 2.003 0.316
82397 A3V 3.932 0.012 1.118 0.072
77813 F 3.781 0.007 0.65 0.09
78233 F 3.855 0.010 0.99 0.08
78663 F 3.802 0.007 0.65 0.07
78977 F 3.788 0.007 0.80 0.08
79054 F 3.827 0.005 0.78 0.08
79083 F 3.827 0.005 1.13 0.09
79097 F 3.822 0.009 0.90 0.09
79288 F 3.833 0.006 0.65 0.07
79369 F 3.845 0.012 0.93 0.09
79606 F 3.788 0.007 0.65 0.09
79643 F 3.827 0.005 0.67 0.08
79644 F 3.802 0.007 0.44 0.10
79910 F 3.822 0.009 0.72 0.08
79977 F 3.827 0.005 0.63 0.08
80586 F 3.814 0.011 0.93 0.09
80896 F 3.827 0.005 0.77 0.07
81455 F 3.814 0.011 0.58 0.08
81851 F 3.827 0.005 0.56 0.07
82218 F 3.827 0.005 0.55 0.08
82319 F 3.827 0.005 1.05 0.18
82534 F 3.827 0.005 0.72 0.07
J155548.7-251223 G3 3.756 0.01 0.38 0.13
J161618.0-233947 G7 3.742 0.01 0.34 0.10
J160843.4-260216 G7 3.742 0.01 0.36 0.09
J161459.2-275023 G5 3.750 0.01 0.08 0.16
J160040.6-220032 G9 3.728 0.01 0.27 0.16
J160000.7-250941 G0 3.774 0.01 0.19 0.11
J160158.2-200811 G5 3.750 0.01 0.65 0.15
J155812.7-232835 G2 3.762 0.01 0.49 0.12
J161731.4-230334 G0 3.774 0.01 0.71 0.14
J161318.6-221248 G9 3.728 0.01 0.60 0.12
78483 G2IV 3.762 0.01 0.64 0.10
78581 G1V 3.769 0.01 0.38 0.08
79252 G7IV(e) 3.742 0.01 0.45 0.12
79462 G2V 3.762 0.01 0.70 0.10
80320 G3IV 3.756 0.01 0.42 0.07
80535 G0V 3.774 0.01 0.71 0.07
